Address,lon,lat
"VAUGHAN GARDEN, LORONG BIAWAK, Singapore",103.819836,1.352083
"VALVISTA, CHUAN VIEW, Singapore",103.819836,1.352083
"VALVISTA, CHUAN TERRACE, Singapore",103.819836,1.352083
"UNIVERSITY PARK, UNIVERSITY WALK, Singapore",103.8176934,1.3240798
"UNIQUE GARDEN, TOH YI DRIVE, Singapore",103.7716335,1.3380803
"UNIQUE GARDEN, LORONG KISMIS, Singapore",103.7683168,1.3373826
"TUAN SING PARK, YIO CHU KANG ROAD, Singapore",103.864225,1.3886659
"TUAN SING PARK, DEDAP ROAD, Singapore",103.864225,1.3886659
"TUAN SING PARK, UPPER NERAM ROAD, Singapore",103.864225,1.3886659
"TOH TUCK GARDEN, TOH TUCK PLACE, Singapore",103.7646837,1.3395886
"TOH ESTATE, UPPER CHANGI ROAD NORTH, Singapore",103.9729468,1.3658985
"TOH ESTATE, TOH AVENUE, Singapore",103.9729468,1.3658985
"TOH ESTATE, TOH STREET, Singapore",103.9729468,1.3658985
"TOH ESTATE, CHIN TERRACE, Singapore",103.9729468,1.3658985
"TOH ESTATE, TOH CRESCENT, Singapore",103.9729468,1.3658985
"TOH ESTATE, TOH CLOSE, Singapore",103.9729468,1.3658985
"TOH ESTATE, TOH DRIVE, Singapore",103.9729468,1.3658985
"TOH ESTATE, TOH HEIGHTS, Singapore",103.9729468,1.3658985
"TIVOLI GARDENS, TAI KENG GARDENS, Singapore",103.819836,1.352083
"TIVOLI GARDENS, TAI KENG PLACE, Singapore",103.819836,1.352083
"THOMSON RISE ESTATE, JALAN PEMIMPIN, Singapore",103.8458918,1.3523176
"THOMSON RISE ESTATE, JALAN BINCHANG, Singapore",103.8458918,1.3523176
"THOMSON RISE ESTATE, JALAN BERJAYA, Singapore",103.8458918,1.3523176
"THOMSON RIDGE, JALAN LEMBAH THOMSON, Singapore",103.831438,1.3519792
"THOMSON RIDGE, THOMSON RIDGE, Singapore",103.8324474,1.3518924
"THOMSON PARK, JALAN IKAN MERAH, Singapore",103.8343624,1.3543365
"THOMSON PARK, JALAN SEMBILANG, Singapore",103.8343624,1.3543365
"THOMSON PARK, JALAN TERUBOK, Singapore",103.8343624,1.3543365
"THOMSON PARK, JALAN BELIBAS, Singapore",103.8343624,1.3543365
