Street.Name,lon,lat
BT BATOK ST 21,103.7533553,1.3465004
BT BATOK WEST AVE 4,103.7469027,1.3626282
BEDOK STH AVE 3,103.9456108,1.3206888
NEW UPP CHANGI RD,103.9351317,1.3245193
KING GEORGE'S AVE,103.8606542,1.3088963
CLEMENTI WEST ST 2,103.7627819,1.3036513
COMPASSVALE LANE,103.8983491,1.3857253
CHAI CHEE RD,103.9232718,1.3256121
PUNGGOL PL,103.9030684,1.4030918
EDGEFIELD PLAINS,103.9090538,1.4008414
CHOA CHU KANG AVE 1,103.7449625,1.3767043
MEI LING ST,103.8031883,1.2942719
YISHUN ST 61,103.8376931,1.4205179
YISHUN ST 11,103.8327938,1.4321708
JURONG WEST ST 42,103.7216459,1.3531391
WEST COAST RD,103.7563454,1.3102413
BT BATOK EAST AVE 3,103.7582677,1.3443815
YISHUN AVE 4,103.8406564,1.4185912
SAUJANA RD,103.7670273,1.3823228
JURONG WEST ST 52,103.7177635,1.3481732
YISHUN AVE 7,103.8332015,1.4384951
ANG MO KIO AVE 9,103.8436947,1.3840378
GEYLANG BAHRU,103.8712596,1.3209869
PENDING RD,103.7710963,1.3762379
YISHUN AVE 2,103.835093,1.4259469
TAMPINES AVE 9,103.943333,1.3603201
YISHUN ST 72,103.8332441,1.4273961
ANG MO KIO AVE 6,103.8451154,1.3760492
HOUGANG AVE 2,103.884852,1.3681714
WOODLANDS ST 31,103.7749482,1.4304806
PETIR RD,103.7709641,1.3748828
CHAI CHEE AVE,103.9246368,1.3250333
YISHUN ST 81,103.8373043,1.4150598
BT BATOK CTRL,103.7497723,1.3502993
JURONG WEST ST 92,103.6901993,1.3412762
YISHUN ST 21,103.8368254,1.4331
WOODLANDS ST 41,103.7731592,1.4293302
HOUGANG AVE 7,103.8992095,1.3673872
HOUGANG ST 22,103.8909906,1.3556597
GANGSA RD,103.7663106,1.377842
JURONG WEST AVE 1,103.7212873,1.3510748
PASIR RIS ST 51,103.9500421,1.3680077
KALLANG BAHRU,103.8666035,1.3179767
SERANGOON NTH AVE 2,103.8722779,1.3646645
CORPORATION DR,103.7231742,1.3330012
TAMPINES ST 22,103.9510797,1.3490889
WOODLANDS ST 83,103.793685,1.4408196
BANGKIT RD,103.7741527,1.3776889
CLEMENTI AVE 4,103.7660987,1.3186409
HOUGANG AVE 4,103.8879925,1.3713668
WOODLANDS ST 32,103.7801462,1.4309653
OLD AIRPORT RD,103.8857949,1.3077047
JURONG EAST AVE 1,103.7347086,1.3441277
SERANGOON AVE 4,103.8707006,1.3582754
HOLLAND CL,103.7957992,1.3075068
TOA PAYOH CTRL,103.8490489,1.3342641
CLEMENTI AVE 2,103.7675569,1.3114857
POTONG PASIR AVE 1,103.8669414,1.3349168
FERNVALE LINK,103.8790556,1.3941017
PASIR RIS ST 11,103.9586667,1.364947
TAMPINES ST 34,103.9601044,1.3559296
HOUGANG AVE 5,103.8963229,1.367378
CASHEW RD,103.7677375,1.371811
SUMANG WALK,103.895989,1.4082573
BEDOK NTH ST 4,103.9397375,1.3321233
HOUGANG ST 61,103.8863784,1.3747019
YISHUN AVE 9,103.8418408,1.4338825
HOUGANG AVE 10,103.8918396,1.3730673
TAMPINES ST 41,103.9489686,1.3588314
CHAI CHEE DR,103.9191563,1.3240385
WOODLANDS AVE 1,103.7851183,1.4314714
WOODLANDS DR 52,103.7993728,1.4340454
HOUGANG ST 11,103.8801928,1.3519335
JURONG WEST ST 51,103.7205379,1.3478108
TELOK BLANGAH HTS,103.8114559,1.2766698
KIM TIAN RD,103.8277583,1.2824629
BEDOK NTH ST 1,103.9308139,1.3272469
HOLLAND AVE,103.7950853,1.3090851
TAMPINES ST 24,103.9517559,1.3553387
SIMS PL,103.8798859,1.3171615
LOR AH SOO,103.8848211,1.3514894
BEDOK STH AVE 2,103.9374146,1.3222585
SERANGOON AVE 2,103.8699198,1.3515525
HOUGANG AVE 6,103.8928605,1.3764879
YISHUN ST 41,103.845417,1.4194387
WHAMPOA WEST,103.8636292,1.3207966
WOODLANDS ST 81,103.789208,1.4414768
UBI AVE 1,103.8980834,1.3262572
TAMPINES ST 21,103.9489696,1.3516213
TAMPINES ST 11,103.9469682,1.3455889
DOVER CRES,103.7827307,1.3056796
WOODLANDS ST 82,103.7913931,1.4432749
TAMPINES ST 44,103.953864,1.3601168
WOODLANDS CIRCLE,103.798085,1.4444853
WOODLANDS DR 50,103.7935814,1.4370612
JURONG EAST ST 13,103.7372944,1.3370334
REDHILL CL,103.816976,1.286539
TAMPINES ST 83,103.9344639,1.353207
HENDERSON CRES,103.8217207,1.2888276
DOVER RD,103.7794345,1.3038064
WOODLANDS AVE 6,103.8029865,1.4387795
CHOA CHU KANG AVE 2,103.7427563,1.3783588
WOODLANDS AVE 4,103.7957198,1.4381579
TAMPINES ST 81,103.933707,1.3483827
TAMPINES ST 43,103.9519403,1.3610757
MARSILING RD,103.7761594,1.4386801
HOLLAND DR,103.7929035,1.3098788
YISHUN ST 51,103.8433564,1.4163664
BT PURMEI RD,103.8255559,1.2727517
TAMPINES AVE 4,103.9423072,1.3516867
WOODLANDS DR 60,103.7997275,1.4469814
JURONG WEST ST 81,103.6951024,1.3471387
WOODLANDS RING RD,103.7994166,1.4384844
ADMIRALTY LINK,103.8175844,1.4552133
WOODLANDS DR 53,103.7971513,1.4323934
CHOA CHU KANG ST 52,103.743962,1.3948713
JURONG WEST ST 25,103.7038569,1.35401
KANG CHING RD,103.7219436,1.3390798
TAH CHING RD,103.7230735,1.3375173
KG KAYU RD,103.8825231,1.302647
TAMPINES AVE 8,103.9305734,1.3527568
MARINE CRES,103.9120279,1.3053359
CANBERRA ST,103.8323487,1.4482209
TAMPINES ST 42,103.9523818,1.3586058
CLEMENTI ST 12,103.7699016,1.3225224
JURONG EAST ST 31,103.7305042,1.3468955
JELAPANG RD,103.7672353,1.3859416
TAMPINES ST 82,103.9365762,1.3516141
CHOA CHU KANG AVE 5,103.739368,1.375558
CHOA CHU KANG AVE 4,103.7415944,1.3827764
CHOA CHU KANG CRES,103.7481519,1.4033017
CLEMENTI AVE 1,103.768452,1.3101746
