"","unique_project_names","latitudes","longitudes"
"517","GUILLEMARD VIEW","1.3111963","103.8845201"
"518","CASSIA EDGE","1.3114602","103.8858739"
"519","GUILLEMARD SUITES","1.3110672","103.8828184"
"520","ESTA RUBY","1.3139254","103.8934373"
"521","GRANDLINK SQUARE","1.3142609","103.8914534"
"522","CASSIA VIEW","1.3109261","103.8866526"
"523","NICOLE GREEN","1.3094772","103.8797894"
"524","THE HACIENDA","1.3136688","103.9270673"
"525","HAIG ELEVEN","1.3084616","103.8995287"
"526","EIS RESIDENCES","1.3078029","103.8994263"
"527","ROSE MAISON","1.3079504","103.8996752"
"528","ESTERINA","1.3078255","103.8998794"
"529","THE SILVERTON","1.3088203","103.8992944"
"530","HAIG 162","1.3063558","103.8987894"
"531","DUNMAN VIEW","1.3100845","103.8971309"
"532","HAIG RESIDENCES","1.3069618","103.8990891"
"533","HAIG COURT","1.3062078","103.8983142"
"534","THE SERENNO","1.310274","103.8975939"
"535","HAIG APARTMENTS","1.3061686","103.8995906"
"536","TAIPAN REGENCY","1.3071502","103.8991229"
"537","THE PROMINENCE","1.3106008","103.8975861"
"538","HAIG LODGE","1.3081316","103.8985297"
"539","HAIG TEN","1.3099548","103.8976943"
"540","SUITES AT ORCHARD","1.3005746","103.8458503"
"541","NOMU","1.2997253","103.8468883"
"542","HAPPY MANSION","1.3304975","103.8801165"
"543","RIVER PLACE","1.2897489","103.8408852"
"544","HARVEST MANSIONS","1.2897393","103.8318842"
"545","HAZEL PARK CONDOMINIUM","1.3717218","103.764282"
"546","VERSAILLES","1.3118722","103.8907619"
"547","THE URBANITE","1.3134554","103.8483174"
"548","VANADIUM","1.352083","103.819836"
"549","HERTFORD COLLECTION","1.3133639","103.848945"
"550","HIGHLAND CONDOMINIUM","1.3592707","103.8801006"
"551","HILLSIDE MANSIONS","1.358154","103.8770969"
"552","D'HIRO@HILLSIDE","1.360121","103.8749479"
"553","HILBRE28","1.3606879","103.8748145"
"554","HILLINGTON GREEN","1.3607074","103.7649758"
"555","MERALODGE","1.3546188","103.7612398"
"556","HILLBROOKS","1.3585109","103.7624529"
"557","MERAWOODS","1.356343","103.7594"
"558","MONTROSA","1.3570496","103.7598731"
"559","HILLTOP GROVE","1.3570512","103.7587776"
"560","GLENDALE PARK","1.362226","103.765884"
"561","THE PETALS","1.3534792","103.7608178"
"562","CHANTILLY RISE","1.359037","103.7632567"
"563","HILLVIEW PARK","1.364657","103.7654608"
"564","HILLVIEW RESIDENCE","1.3565169","103.7609595"
"565","HILLVIEW 128","1.356782","103.7608815"
"566","THE LANAI","1.3560722","103.7614923"
"567","HILLVIEW HEIGHTS","1.3610661","103.7652449"
"568","THE AMSTON","1.3567872","103.7604374"
"569","HILLVIEW APARTMENTS","1.3560436","103.7624392"
"570","KINGSFORD . HILLVIEW PEAK","1.3645826","103.7641012"
"571","THE HILLIER","1.3639081","103.7642313"
"572","LAUREL TREE","1.352083","103.819836"
"573","HILLS TWOONE","1.3526436","103.7584066"
"574","NATURA@HILLVIEW","1.3528919","103.7590869"
"575","LE WOOD","1.3471339","103.7759936"
"576","SOUTHAVEN II","1.3468702","103.7730141"
"577","SOUTHAVEN I","1.352083","103.819836"
"578","SPRINGDALE CONDOMINIUM","1.3483945","103.771774"
"579","WARNER COURT","1.3099777","103.7957017"
"580","WILLYN VILLE","1.3119567","103.796528"
"581","HOLLAND TOWER","1.3076211","103.8028947"
"582","LUSH ON HOLLAND HILL","1.3088546","103.800354"
"583","HOLLAND PEAK","1.3086804","103.8011582"
"584","HOLLAND HILL PARK","1.3098529","103.8024249"
"585","PARVIS","1.3103151","103.8012733"
"586","HOLLAND HILL LODGE","1.3098369","103.8028877"
"587","HOLLANDSWOOD COURT","1.3098474","103.8035859"
"588","CONDOMINIUM DEVELOPMENT","1.352083","103.819836"
"589","ALLSWORTH PARK","1.3199293","103.781176"
"590","VERDURE","1.3092219","103.8070859"
"591","DE LENTE","1.3117434","103.8017414"
"592","THE SERENADE @ HOLLAND","1.3184188","103.780112"
"593","THE ENCLAVE . HOLLAND","1.310912","103.7951937"
"594","LOFT@HOLLAND","1.310912","103.7951937"
"595","QUINTERRA","1.3186781","103.7806116"
"596","BOTANIKA","1.3098525","103.8081219"
"597","DUET","1.352083","103.819836"
"598","HOLLAND MEWS","1.3094501","103.8062519"
"599","UNIT 8","1.3097969","103.8058519"
"600","HOLLAND COURT","1.3133261","103.79807"
"601","THE HOLLAND COLLECTION","1.3089242","103.8079584"
"602","HOLLAND SUITES","1.3118396","103.7995483"
"603","SHEARES VILLE","1.2936465","103.8253121"
"604","THE HORIZON","1.2886871","103.8438623"
"605","SEVEN HOLT ROAD","1.2936713","103.8259127"
"606","HOLT RESIDENCES","1.294187","103.826138"
"607","PALM GARDENS","1.3785136","103.7471265"
"608","THE FLORIDA","1.3736894","103.9005617"
"609","EVERGREEN PARK","1.3689916","103.8996401"
"610","THE MINTON","1.3519797","103.8816471"
"611","CENTRAL VIEW","1.3530134","103.8784065"
"612","PARC VERA","1.3639238","103.89498"
"613","REGENTVILLE","1.3742765","103.8779702"
"614","URBAN SUITES","1.3034586","103.8384562"
"615","PARC PALAIS","1.357016","103.7656627"
"616","HILLVIEW GREEN","1.3581184","103.7650147"
"617","SYMPHONY HEIGHTS","1.3563505","103.7664486"
"618","HUME PARK II","1.3550673","103.7675354"
"619","HUME PARK I","1.352083","103.819836"
"620","SUMMERHILL","1.3075322","103.8286"
"621","EMERALD PARK","1.2896082","103.8300829"
"622","ASPEN LINQ","1.2952935","103.8398323"
"623","VERSILIA ON HAIG","1.3122158","103.8960387"
"624","BELLA CASITA","1.311678","103.8944394"
"625","EMERY POINT","1.3116493","103.8957234"
"626","IMPERIAL HEIGHTS","1.3114335","103.8951123"
"627","38 I SUITES","1.3118175","103.8961585"
"628","RITZ REGENCY","1.3115028","103.8951508"
"629","THE CENTRIO","1.3252377","103.8460194"
"630","DOMUS","1.325683","103.8454717"
"631","IRESIDENCES","1.3252513","103.8455857"
"632","ASTRIDVILLE","1.3211551","103.7944617"
"633","BALESTIER REGENCY","1.3253016","103.8518195"
"634","BIRCHWOOD MANSIONS","1.3259734","103.8508638"
"635","THE VIRIDIAN","1.3260242","103.8515693"
"636","AMPAS APARTMENTS","1.3262642","103.8510878"
"637","SUITES DE LAUREL","1.3394563","103.779869"
"638","SHERWOOD TOWER","1.339514","103.7788169"
"639","STUDIO8","1.311104","103.8730517"
"640","MERAPRIME","1.2870709","103.8277503"
"641","OASIS GARDEN","1.338804","103.882877"
"642","VISTA RESIDENCES","1.3284538","103.8432844"
"643","THE CITRINE","1.3273866","103.8432986"
"644","THE HELICONIA","1.326126","103.9091055"
"645","WINDY HEIGHTS","1.3269177","103.9103011"
"646","ONE DUSUN RESIDENCES","1.3272937","103.8437471"
"647","GAIA","1.352083","103.819836"
"648","GALLERY FIFTEEN","1.3275537","103.8437158"
"649","NEW COURT","1.3281337","103.8436781"
"650","THE NAVIAN","1.3278208","103.9061176"
"651","EUHABITAT","1.328235","103.9063485"
"652","CORONA VILLE","1.32256","103.7946623"
"653","LAGUNA GREEN","1.3129842","103.9346772"
"654","LANDBAY CONDOMINIUM","1.3134619","103.9359641"
"655","THE TAIPAN","1.3123809","103.9349281"
"656","KIM SIA COURT","1.3058875","103.8338566"
"657","THE HILLFORD","1.3440954","103.769746"
"658","SHERWOOD CONDOMINIUM","1.3453587","103.7678221"
"659","CHARISMA VIEW","1.3445899","103.7686239"
"660","TERRENE AT BUKIT TIMAH","1.341512","103.7708498"
"661","JK BUILDING","1.3405616","103.7741672"
"662","SUITES AT BUKIT TIMAH","1.3405968","103.7736822"
"663","NEEM TREE","1.3273361","103.8513257"
"664","THE TRUMPS","1.3202602","103.913475"
"665","THE MORNINGSIDE","1.2954609","103.8357047"
"666","SUNSHINE GROVE","1.3460618","103.8740595"
"667","THE TRILINQ","1.3187273","103.7616745"
"668","REGENT PARK","1.3173767","103.7612529"
"669","LIMAU PARK","1.32261","103.947836"
"670","NANYANG PARK","1.365406","103.8750036"
"671","KENSINGTON SQUARE","1.3456397","103.8826924"
"672","LIGHTHOUSE","1.3041563","103.7969652"
"673","OCEAN FRONT SUITES","1.378973","103.9608038"
"674","RIZ HAVEN","1.3796963","103.9627962"
"675","SANDY PALM","1.3783768","103.9598072"
"676","JLB RESIDENCES","1.3790735","103.9605847"
"677","CASA PASIR RIS","1.3799114","103.9636688"
"678","COASTAL VIEW RESIDENCES","1.379218","103.9610171"
"679","BLUWATERS 2","1.3794812","103.9639936"
"680","BLUWATERS","1.300164","103.8577305"
"681","LE LOYANG","1.3694459","103.9694014"
"682","LOYANG GARDENS","1.3781584","103.9567579"
"683","CELADON VIEW","1.3780763","103.9564487"
"684","LOYANG TOWNHOUSES","1.3795076","103.9642316"
"685","THE EDGEWATER","1.380329","103.9647051"
"686","KEMBANGAN PLAZA","1.320443","103.9127199"
"687","BLISS RESIDENCES","1.3201788","103.9122554"
"688","KINGSTON TERRACE","1.3196909","103.9129023"
"689","KEMBANGAN COURT","1.3196458","103.9123117"
"690","D'GALLERY","1.319949","103.9120069"
"691","KEMBANGAN SUITES","1.320121","103.9126641"
"692","BIJOU","1.2770188","103.7914728"
"693","ISLAND VIEW","1.2793864","103.791502"
"694","EUPHONY GARDENS","1.4247776","103.8242526"
"695","NORTHWOOD","1.352083","103.819836"
"696","CENTRAL GREEN CONDOMINIUM","1.2845906","103.8276716"
"697","THE MERASAGA","1.3117133","103.7975001"
"698","NOVENA LODGE","1.3237396","103.8412377"
"699","LATITUDE","1.2961711","103.8281788"
"700","MUTIARA VIEW","1.2954167","103.8284523"
"701","THE MONTANA","1.3001259","103.849316"
"702","MUTIARA CREST","1.2958434","103.8292635"
"703","M5","1.352083","103.819836"
"704","NAUNG RESIDENCE","1.3679246","103.8926092"
"705","NOVENA HILL","1.323768","103.8431428"
"706","NOVENA COURT","1.3226702","103.84201"
"707","CHESTNUT VILLE","1.367471","103.7695841"
"708","PEAKVIEW ESTATE","1.352083","103.819836"
"709","THE PROMENADE@PELIKAT","1.3549093","103.8875621"
"710","PRIMO RESIDENCES","1.3556959","103.8885989"
"711","QUBE SUITES","1.3298124","103.9080711"
"712","THE ARTE","1.3280489","103.8425951"
"713","GLOBAL VILLE","1.3276089","103.8426498"
"714","THE VERVE","1.3276896","103.8481365"
"715","RAJAH TOWERS","1.3274193","103.8487819"
"716","SKYSUITES17","1.3274396","103.847826"
"717","REGIS MANSIONS","1.3430302","103.7682822"
"718","ROYAL COURT","1.352083","103.819836"
"719","GRAND REGENCY","1.3433663","103.768744"
"720","PALM RESIDENCE","1.3435885","103.7691661"
"721","GRAND CHATEAU","1.3439766","103.7686684"
"722","PAPILLON","1.3270031","103.8492815"
"723","DE ROYALE","1.3281622","103.8493523"
"724","CENTURY MANSIONS","1.357508","103.7621314"
"725","THE IMPERIAL","1.2949034","103.8425581"
"726","SEASIDE PARK","1.352083","103.819836"
"727","SELANTING GREEN","1.3428843","103.7688224"
"728","VILLA MARINA","1.3106367","103.9269865"
"729","THE NAUTICAL","1.4433794","103.8245198"
"730","D'BANYAN","1.444143","103.8254272"
"731","SINGA HILLS","1.3302893","103.9085201"
"732","TEXTILE CENTRE","1.3036547","103.8612408"
"733","RIO GARDENS","1.3264097","103.8642496"
"734","ST MICHAEL'S PLACE","1.3249861","103.8651835"
"735","THE ABERDEEN","1.3253878","103.8654708"
"736","ISUITES @ TANI","1.365922","103.8847757"
"737","D'SAVILLE","1.307157","103.9144984"
"738","TROPICANA CONDOMINIUM","1.3414501","103.9608607"
"739","CRESCENDO PARK","1.3133691","103.9259565"
"740","PARK EAST","1.3176676","103.9248199"
"741","GEMINI APARTMENTS","1.3172651","103.9248632"
"742","THE SENSORIA","1.4373021","103.8250451"
"743","RADIX","1.352083","103.819836"
"744","SUITES @ EUNOS","1.3205409","103.9057855"
"745","JANSEN 28","1.3601489","103.8768792"
"746","RESIDENCES @ JANSEN","1.3601181","103.8764666"
"747","MINT RESIDENCES @ JANSEN","1.3598938","103.8774233"
"748","JANSEN MANSIONS","1.3600119","103.8766138"
"749","HILLION RESIDENCES","1.3787715","103.7636634"
"750","CITYLIGHTS","1.3501487","103.8412674"
"751","ONE JERVOIS","1.2927883","103.8248622"
"752","JERVOIS JADE","1.2925579","103.8253555"
"753","CLYDESVIEW","1.2942781","103.818094"
"754","JERVOIS TREASURES","1.2928692","103.823568"
"755","JERVOIS REGENCY","1.2945126","103.8219431"
"756","JERVOIS LODGE","1.293887","103.8236307"
"757","DORMER PARK","1.2946071","103.8216286"
"758","PETIT JERVOIS","1.2932844","103.8232736"
"759","JERVOIS MEADOWS","1.2949272","103.8167066"
"760","MON JERVOIS","1.2940727","103.8223637"
"761","CASA JERVOIS","1.2946766","103.8189966"
"762","LEGENDA AT JOO CHIAT","1.3055539","103.9052416"
"763","D'SUNRISE","1.3120647","103.9010155"
"764","D' CASTILIA","1.3128525","103.903388"
"765","EASTVILLE APARTMENTS","1.3127941","103.9030468"
"766","JC RESIDENCE","1.3126535","103.9005914"
"767","GIDEON'S LODGE","1.352083","103.819836"
"768","D' FRESCO","1.3124275","103.9036791"
"769","EASTERN RESIDENCE","1.3146421","103.9077403"
"770","FLORA EAST","1.3145439","103.9054694"
"771","SUNSHINE MANSIONS","1.3149147","103.9077876"
"772","PARC BLEU","1.3141633","103.9076247"
"773","ENVIO","1.3145815","103.9074568"
"774","THE GLACIER","1.3142235","103.9072249"
"775","EVERITT EDGE","1.3137875","103.9017505"
"776","EASTCOVE RESIDENCES","1.3143978","103.908823"
"777","JC COURT","1.3138199","103.9042818"
"778","JOO CHIAT VERBENA","1.3145774","103.9071053"
"779","JOO CHIAT MANSIONS","1.3141634","103.9043849"
"780","STRAITS RESIDENCES","1.3138256","103.9043952"
"781","CORALIS","1.304501","103.9054952"
"782","PARC SEABREEZE","1.303842","103.9060161"
"783","THE EASTSIDE","1.3055161","103.9056444"
"784","EURO-ASIA LODGE","1.3143426","103.9019165"
"785","PALM LOFT","1.3147613","103.90342"
"786","EAST ELEGANCE","1.3151077","103.9055156"
"787","ASPEN LOFT","1.3146602","103.9046533"
"788","ONE EIGHTIES RESIDENCES","1.314924","103.905212"
"789","VERDOR RESIDENCES","1.3148326","103.9036315"
"790","CELESTIA","1.352083","103.819836"
"791","EASTWIND MANSIONS","1.3145571","103.902254"
"792","THE MINT RESIDENCES","1.3149177","103.9048869"
"793","PARC OASIS","1.3441583","103.7332848"
"794","WESTMERE","1.3378315","103.7364048"
"795","IVORY HEIGHTS","1.3354284","103.7373606"
"796","THE MAYFAIR","1.3451149","103.7334071"
"797","LAKE GRANDE","1.3459957","103.7246306"
"798","LAKEVILLE","1.3456882","103.7250097"
"799","THE CENTRIS","1.3400168","103.7053819"
"800","THE LAKESHORE","1.352083","103.819836"
"801","TEACHER'S HOUSING ESTATE","1.3804607","103.8310997"
"802","THE RIVERINE BY THE PARK","1.3096958","103.8691174"
"803","HARBOUR SUITES","1.2723608","103.8276457"
"804","KALLANG RIVERSIDE","1.33590715404134","103.847714602992"
"805","DENG FU VILLE","1.3190287","103.906633"
"806","EUNOS PARK","1.3183584","103.9060988"
"807","LE REVE","1.2808874","103.8421136"
"808","PARC CENTENNIAL","1.3131577","103.8437696"
"809","KANDIS RESIDENCE","1.4565887","103.8371478"
"810","SUMMER SCENT","1.352083","103.819836"
"811","KASTURINA LODGE","1.2963629","103.8297091"
"812","THE ASTON","1.2960308","103.8297855"
"813","ONZE @ TANJONG PAGAR","1.2750074","103.8421186"
"814","MELROSE PARK","1.293615","103.8304008"
"815","KELLOCK LODGE","1.2949435","103.8298424"
"816","THE RIVERSIDE PIAZZA","1.2886871","103.8438623"
"817","CYAN","1.318146","103.8304625"
"818","BELLERIVE","1.3171269","103.8305087"
"819","THE MERLOT","1.3143937","103.8463401"
"820","ROCHELLE AT NEWTON","1.3139207","103.8419382"
"821","KENG LEE COURT","1.3125938","103.8471089"
"822","KENSINGTON PARK CONDOMINIUM","1.3689839","103.8695831"
"823","KENT RESIDENCES","1.3160596","103.852002"
"824","CARIBBEAN AT KEPPEL BAY","1.2674851","103.8161036"
"825","CORALS AT KEPPEL BAY","1.2655778","103.8165701"
"826","REFLECTIONS AT KEPPEL BAY","1.2668201","103.8106976"
"827","KEW GREEN","1.3183114","103.9496541"
"828","KHEAM HOCK GARDENS","1.3284646","103.8200329"
"829","LINCOLN SUITES","1.3170473","103.8427775"
"830","LA CRYSTAL","1.2960476","103.836974"
"831","KILLINEY 118","1.2979864","103.8384048"
"832","CLAREMONT","1.3113528","103.854763"
"833","THE BOUTIQ","1.2965559","103.8384894"
"834","RESIDENCES @ KILLINEY","1.2969022","103.8380167"
"835","BLISS LOFT","1.3233351","103.8528592"
"836","CALARASI","1.352083","103.819836"
"837","KIM KEAT HOUSE","1.3253805","103.8540342"
"838","REGAL COURT","1.324516","103.8528712"
"839","THE INTERWEAVE","1.3251941","103.8533861"
"840","KIM KEAT LODGE","1.3242008","103.852495"
"841","VICTORY HEIGHTS","1.3243937","103.8526027"
"842","KIM KEAT GARDENS","1.3236962","103.8525303"
"843","TRIBECA","1.2910451","103.8344191"
"844","THE TRILLIUM","1.294104","103.833056"
"845","THE COSMOPOLITAN","1.2956897","103.8322972"
"846","MIRAGE TOWER","1.2919498","103.8342371"
"847","CENTENNIA SUITES","1.292822","103.8335334"
"848","TIARA","1.2950559","103.831178"
"849","TWIN REGENCY","1.2849701","103.8284641"
"850","REGENCY SUITES","1.2843806","103.8292793"
"851","HIGHLINE RESIDENCES","1.2851558","103.8298123"
"852","LANGSTON VILLE","1.2948985","103.8389432"
"853","OLEANAS RESIDENCE","1.2934173","103.8390921"
"854","ATTITUDE AT KIM YAM","1.2935941","103.8393394"
"855","WATERFORD RESIDENCE","1.2940296","103.8397635"
"856","GAMBIER COURT","1.2930328","103.8397551"
"857","KAP RESIDENCES","1.3369834","103.7790681"
"858","1 KING ALBERT PARK","1.336624","103.7802532"
"859","CITY SQUARE RESIDENCES","1.3108008","103.8571769"
"860","TIVOLI GRANDE","1.3126811","103.9063907"
"861","CASA FELIZ","1.3118408","103.9045382"
"862","KOON SENG COURT","1.3115593","103.9042873"
"863","EAST COURT","1.311866","103.9047961"
"864","KOVAN REGENCY","1.3628373","103.8856483"
"865","THE BENTLY RESIDENCES@KOVAN","1.3579908","103.8802565"
"866","KOVAN RESIDENCES","1.361154","103.8850383"
"867","KOVAN CREST","1.358356","103.8813077"
"868","KOVAN APARTMENTS","1.357135","103.8796457"
"869","VIBES @ KOVAN","1.3612182","103.8862529"
"870","KOVAN MELODY","1.3597117","103.8835437"
"871","KOVAN ESQUIRE","1.358077","103.881221"
"872","KOVAN PRIMERA","1.3551131","103.8780529"
"873","KOVANA","1.3577473","103.8806959"
"874","KOVAN 81","1.3542504","103.8789223"
"875","57 @ KOVAN","1.3612182","103.8862529"
"876","SIMON PLAZA","1.3620031","103.8849336"
"877","THE LADYHILL","1.31042","103.825058"
"878","LAKEPOINT CONDOMINIUM","1.352083","103.819836"
"879","THE LAKEFRONT RESIDENCES","1.3430358","103.7190067"
"880","CASPIAN","1.3428257","103.7174445"
"881","STILL 123","1.3160203","103.9052224"
"882","SPRING @ LANGSAT","1.3150525","103.9002643"
"883","D'LEEDON","1.3155721","103.8038914"
"884","LEEDON RESIDENCE","1.3136235","103.8025142"
"885","LEEDON 2","1.313047","103.7968673"
"886","JADE MANSION","1.3134187","103.7972579"
"887","ONE LEICESTER","1.3300138","103.867151"
"888","LEICESTER SUITES","1.3303287","103.8670423"
"889","PLATINUM EDGE","1.3305276","103.8669716"
"890","LEICESTER LODGE","1.3299958","103.8669908"
"891","PARC ASTON","1.3300471","103.8675603"
"892","INTERO","1.352083","103.819836"
"893","LEITH GROVE","1.3621851","103.8740194"
"894","ESCADA VIEW","1.3289327","103.9133937"
"895","LEVENUE","1.3282965","103.9137396"
"896","ASTOR","1.352083","103.819836"
"897","GROSVENOR VIEW","1.3278014","103.9118161"
"898","STARVILLE","1.3276823","103.9110678"
"899","VACANZA @ EAST","1.3293556","103.9147377"
"900","BULLION PARK","1.3916215","103.8362784"
"901","LEONIE GARDENS","1.2983502","103.8324278"
"902","LEONIE TOWERS","1.2979698","103.8315827"
"903","LEONIE SUITES","1.2988628","103.8318578"
"904","HORIZON TOWERS","1.2983254","103.8333551"
"905","RIVERSHIRE","1.2966455","103.83303"
"906","THE LUMOS","1.2992233","103.8319283"
"907","OUE TWIN PEAKS","1.299433","103.8332772"
"908","LEONIE HILL RESIDENCES","1.2973376","103.8331687"
"909","LEONIE PARC VIEW","1.298958","103.8342271"
"910","NEW FUTURA","1.2985307","103.8340078"
"911","JADE RESIDENCES","1.3490702","103.8781506"
"912","SIGNATURE AT LEWIS","1.3209194","103.8231292"
"913","PIN MANSIONS","1.352083","103.819836"
"914","HARMONY @ 1A","1.3634514","103.8879075"
"915","THE COURTYARD","1.2863437","103.8530812"
"916","THE AMARELLE","1.3133137","103.8924192"
"917","SUITES @ GUILLEMARD","1.3125657","103.8918166"
"918","CASA CAMBIO","1.3539255","103.876323"
"919","CASA RIVIERA","1.3547295","103.8753887"
"920","CAMBIO SUITES","1.3552045","103.8762744"
"921","THE LINCOLN MODERN","1.3153019","103.843019"
"922","PARK INFINIA AT WEE NAM","1.314478","103.8434204"
"923","IRIDIUM","1.352083","103.819836"
"924","THE LINC","1.3144091","103.8424984"
"925","MIRO","1.3138838","103.842432"
"926","ROSEVALE","1.316002","103.8432468"
"927","LLOYD SIXTYFIVE","1.2973113","103.8389791"
"928","LLOYD COURT","1.2974643","103.8394444"
"929","THE BOTANIC ON LLOYD","1.297032","103.839527"
"930","PEOPLE'S GARDEN","1.352083","103.819836"
"931","OLEANDER TOWERS","1.3332034","103.8439982"
"932","TRELLIS TOWERS","1.3305008","103.8436733"
"933","OLLOI","1.315002","103.8997533"
"934","PARK COURT","1.315603","103.900081"
"935","JUPITER 18","1.3156433","103.900621"
"936","THE ARIEL","1.3158338","103.9029045"
"937","THE ELEGANCE @ CHANGI","1.3162613","103.9036906"
"938","STILLZ RESIDENCE","1.3159679","103.904794"
"939","PADDY GREEN","1.3119909","103.8784049"
"940","SUMMER VIEW","1.3016207","103.8523367"
"941","WING FONG MANSIONS/WING FONG COURT","1.3107929","103.8791105"
"942","WING FONG MANSIONS","1.3107929","103.8791105"
"943","CENTRAL IMPERIAL","1.3124327","103.8790049"
"944","CANBERLIN APARTMENTS","1.3107221","103.8798226"
"945","CRYSTAL LODGE","1.3114295","103.8797111"
"946","TREASURES@G19","1.313969","103.8789513"
"947","SIMS POINT","1.3132863","103.8794964"
"948","BOUGAINVILLA APARTMENTS","1.3134689","103.8797585"
"949","# 1 SUITES","1.3124762","103.8815407"
"950","TREASURES @ G20","1.3114026","103.8815887"
"951","SUNFLOWER REGENCY","1.3112685","103.8812285"
"952","GRANDVIEW SUITES","1.3128254","103.8824543"
"953","PRIME RESIDENCE","1.3112262","103.8824347"
"954","# 1 LOFT","1.3128014","103.8835204"
"955","EDENZ LOFT","1.3123152","103.8834881"
"956","THE OCTET","1.3120222","103.883477"
"957","SKT MANSIONS","1.3146937","103.8826194"
"958","CENTRA STUDIOS","1.3144635","103.8823376"
"959","CENTRA SUITES","1.3147077","103.8832553"
"960","REZI 26","1.3129683","103.8851217"
"961","28 IMPERIAL RESIDENCES","1.3117963","103.884782"
"962","CASA AERATA","1.3123421","103.88505"
"963","LE ARC","1.3126623","103.8846757"
"964","SUNFLOWER MANSIONS","1.3120975","103.8850607"
"965","LA FLEUR","1.3124469","103.884601"
"966","BLOSSOM VIEW","1.3119327","103.8850945"
"967","GUILIN COURT","1.3121877","103.8847425"
"968","METRO LOFT","1.3141655","103.8835484"
"969","THE CENTREN","1.3139546","103.8835926"
"970","THE ALCOVE","1.314353","103.8839803"
"971","SIMS GREEN","1.3143919","103.8846063"
"972","BALMY COURT","1.3141501","103.884978"
"973","ATRIUM RESIDENCES","1.3131324","103.8857419"
"974","EDENZ SUITES","1.3128903","103.8856618"
"975","THE SUNFLOWER","1.352083","103.819836"
"976","LA BRISA","1.3119372","103.8853911"
"977","MELOSA","1.3125443","103.8854504"
"978","TORIEVIEW MANSIONS","1.3145131","103.8859572"
"979","CANNE LODGE","1.3142858","103.8733808"
"980","TREVISTA","1.3377028","103.8467094"
"981","THE MIDAS","1.3128475","103.8859515"
"982","GUILLEMARD EDGE","1.3120756","103.8859715"
"983","SUITES 28","1.3126439","103.8860985"
"984","VIENTO","1.352083","103.819836"
"985","IDYLLIC SUITES","1.3128937","103.8864963"
"986","THE SANCTUARY @ GEYLANG","1.3134688","103.8864914"
"987","COSY 23","1.3125657","103.8864924"
"988","COSY LODGE","1.315316","103.8869523"
"989","CAMELLIA LODGE","1.3154056","103.8865404"
"990","SILVERSCAPE","1.312578","103.8871652"
"991","REZI 3TWO","1.3121386","103.8868038"
"992","LOFT 33","1.3127779","103.8871226"
"993","NESS","1.3127627","103.8868406"
"994","CASA EMERALD","1.3121498","103.8871562"
"995","EN FU MANSIONS","1.3154113","103.8875074"
"996","CHEN FANG MANSIONS","1.3153181","103.8878838"
"997","SIMS MEADOWS","1.3148372","103.8880717"
"998","CALIN MANSIONS","1.3154531","103.8878685"
"999","PENANG SERVICE APARTMENTS","1.3133132","103.8872996"
"1000","CENTRAL MEADOWS","1.3122755","103.8881775"
"1001","GEYLANG HERITAGE","1.3130306","103.8875702"
"1002","PRIMEDGE","1.3125494","103.8880778"
"1003","BAODE BUILDING","1.3151853","103.8887298"
"1004","REZI 35","1.315779","103.8886696"
"1005","REGAL 35","1.3158122","103.8884789"
"1006","CENTRA LOFT","1.3148639","103.8884262"
"1007","SIXTEEN35 RESIDENCES","1.3154162","103.8886569"
"1008","SUNFLOWER VIEW","1.3129339","103.8883378"
"1009","PALM LODGE","1.3153061","103.8899313"
"1010","GUILIN MANSIONS","1.3158122","103.8898924"
"1011","MORO MANSIONS","1.3153059","103.8894623"
"1012","SUNNY GROVE","1.3155245","103.8894898"
"1013","THE WATER EDGE","1.3137914","103.8887428"
"1014","D'WEAVE","1.3156622","103.8905717"
"1015","SIMS RESIDENCES","1.3160702","103.8909865"
"1016","SIMS DORADO","1.315777","103.8904584"
"1017","SUNFLOWER GRANDEUR","1.3164085","103.8905103"
"1018","WANG LODGE","1.3113092","103.8760279"
"1019","THE WATERINA","1.3126489","103.890178"
"1020","THE SUNNY SPRING","1.312215","103.889486"
"1021","PARK 1 SUITES","1.3140148","103.889388"
"1022","ASTON MANSIONS","1.3140727","103.8906552"
"1023","ROYCE RESIDENCES","1.3113133","103.8763113"
"1024","TORIEVILLE","1.3098939","103.8768201"
"1025","CANBERLIN LODGE","1.3094512","103.8769297"
"1026","SUNFLOWER COURT","1.3107078","103.8763768"
"1027","CRYSTAL MANSIONS","1.3115573","103.8765482"
"1028","TREASURES@G6","1.3106292","103.8767486"
"1029","CENTRA RESIDENCE","1.3129027","103.8758508"
"1030","FAMILIE MANSIONS","1.3098338","103.8774958"
"1031","WING FONG BUILDING","1.30886","103.8773367"
"1032","GOODVIEW APARTMENTS","1.3117511","103.8768313"
"1033","THE DIAMOND","1.3129877","103.8761949"
"1034","URBAN RESIDENCES","1.3507666","103.8800322"
"1035","D'LOTUS","1.3261651","103.853609"
"1036","AQUENE","1.3143097","103.9092378"
"1037","THE CHUAN","1.3498717","103.8603741"
"1038","CHUAN PARK","1.3519273","103.8640435"
"1039","ESPIRA SPRING","1.3173041","103.9104988"
"1040","PALM VISTA","1.352083","103.819836"
"1041","SUNNY PALMS","1.3176417","103.9108352"
"1042","EAST BAY GARDENS","1.3178575","103.9123954"
"1043","THE MEDLEY","1.3171629","103.9111106"
