"","unique_project_names","latitudes","longitudes"
"120","ARCHIPELAGO","1.3383267","103.9195561"
"121","WATERFRONT KEY","1.337699","103.9307074"
"122","WATERFRONT ISLE","1.3381536","103.9278526"
"123","WATERFRONT WAVES","1.3381235","103.9300788"
"124","BAYWATER","1.3375618","103.9322995"
"125","WATERFRONT GOLD","1.3383943","103.9286513"
"126","AQUARIUS BY THE PARK","1.3384237","103.9351094"
"127","THE CLEARWATER","1.3381","103.93396"
"128","STRATFORD COURT","1.3285779","103.9511244"
"129","THE GLADES","1.3261354","103.9476431"
"130","COUNTRY PARK CONDOMINIUM","1.321248","103.9543506"
"131","BEDOK SHOPPING COMPLEX","1.3313326","103.9485799"
"132","CASAFINA","1.3152446","103.9339473"
"133","ECO","1.30309","103.8531"
"134","GRANDEUR PARK RESIDENCES","1.3259062","103.9456471"
"135","BEDOK COURT","1.3221269","103.944134"
"136","YGK GARDEN","1.3129882","103.7991991"
"137","THE BELMONT","1.352083","103.819836"
"138","BURLINGTON SQUARE","1.3023144","103.8525688"
"139","THE BENCOOLEN","1.3016941","103.8532843"
"140","NOVA 88","1.3247275","103.8494797"
"141","RICHMOND PARK","1.3050589","103.8363838"
"142","BINJAI PARK","1.3391323","103.7877738"
"143","BISHAN LOFT","1.3473252","103.8524334"
"144","SKY VUE","1.3523629","103.8508498"
"145","SKY HABITAT","1.3522637","103.8518537"
"146","BISHAN 8","1.3491779","103.8467621"
"147","RAFFLESIA CONDOMINIUM","1.3478668","103.8432726"
"148","CLOVER BY THE PARK","1.35926","103.845371"
"149","BISHOPSGATE RESIDENCES","1.2989205","103.8243664"
"150","BOAT QUAY CONSERVATION AREA","1.2876453","103.8493477"
"151","SUMMERDALE","1.352083","103.819836"
"152","VA RESIDENCES","1.3267681","103.8496243"
"153","KINGSLEY MANSIONS","1.3271758","103.8501239"
"154","BOON TECK APARTMENTS","1.3271896","103.850652"
"155","BOON TECK TOWER","1.3277669","103.8502342"
"156","D'MIRA","1.3275216","103.8499699"
"157","BRADDELL VIEW","1.3422608","103.8409328"
"158","E MAISON","1.3432016","103.8692282"
"159","SUITES@BRADDELL","1.3436008","103.8686437"
"160","THE SCENIC @ BRADDELL","1.3433524","103.8688334"
"161","THOMSON THREE","1.3577804","103.8304406"
"162","BISHAN POINT","1.3596753","103.8326762"
