"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"97496",97496,97496,"ECO SANCTUARY, CHESTNUT AVENUE, Singapore","ECO SANCTUARY","CHESTNUT AVENUE",123348,1080000,"2023-04-01","Strata",68,15882,"Condominium",23,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2012,87,"1m-1.25m","70-100",103.7758018,1.3705461,"West"
"33557",33557,33557,"Block 288A, COMPASSVALE CRES, Singapore","HDB","COMPASSVALE CRES",58726,595000,"2022-04-01","Non",93,6397.849462,"Premium Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2017,94.58333333,"500k-600k","70-100",103.8982054,1.3972429,"North"
"23495",23495,23495,"Block 211, CHOA CHU KANG CTRL, Singapore","HDB","CHOA CHU KANG CTRL",28247,455000,"2021-12-01","Non",114,3991.22807,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1989,67,"400k-500k","50-70",103.7467587,1.381097,"West"
"58559",58559,58559,"Block 501, HOUGANG AVE 8, Singapore","HDB","HOUGANG AVE 8",16254,390000,"2023-09-01","Non",64,6093.75,"Simplified HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1986,61.83333333,"300k-400k","50-70",103.8882516,1.3746983,"East"
"72410",72410,72410,"Block 659C, JURONG WEST ST 65, Singapore","HDB","JURONG WEST ST 65",50136,550000,"2022-04-01","Non",110,5000,"Improved HDB",22,"Outside Central Region","16 to 20","Public Housing",3,0,2,1,1,2001,78.33333333,"500k-600k","70-100",103.701055,1.339792,"West"
"57934",57934,57934,"Block 495D, TAMPINES ST 43, Singapore","HDB","TAMPINES ST 43",83827,9e+05,"2022-08-01","Non",147,6122.44898,"Apartment HDB",18,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1994,70.5,"900k-1m","70-100",103.9519403,1.3610757,"East"
"67216",67216,67216,"Block 604, ANG MO KIO AVE 5, Singapore","HDB","ANG MO KIO AVE 5",4461,315000,"2022-08-01","Non",67,4701.492537,"New Generation HDB",20,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1980,56.91666667,"300k-400k","50-70",103.8556196,1.3758877,"East"
"52915",52915,52915,"Block 45, JLN TIGA, Singapore","HDB","JLN TIGA",81941,850000,"2023-08-01","Non",93,9139.784946,"Model A HDB",14,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,2005,80.83333333,"800k-900k","70-100",103.8844315,1.3080485,"East"
"133857",133857,133857,"THE TOPIARY, FERNVALE LANE, Singapore","THE TOPIARY","FERNVALE LANE",97556,1350000,"2023-01-01","Strata",101,13366,"Executive Condominium",28,"Outside Central Region","06 to 10","Executive Condo",2,0,1,1,1,2012,87,"1.25m-1.5m","70-100",103.8710239,1.3894296,"East"
"114312",114312,114312,"PARC ROSEWOOD, ROSEWOOD DRIVE, Singapore","PARC ROSEWOOD","ROSEWOOD DRIVE",118268,588000,"2021-10-01","Strata",47,12511,"Condominium",25,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2011,86,"500k-600k","70-100",103.7859845,1.4284716,"North"
