"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"121244",121244,121244,"SIMEI GREEN CONDOMINIUM, SIMEI STREET 4, Singapore","SIMEI GREEN CONDOMINIUM","SIMEI STREET 4",93710,955000,"2021-03-01","Strata",116,8233,"Executive Condominium",18,"Outside Central Region","06 to 10","Executive Condo",3,0,2,1,1,1996,71,"900k-1m","70-100",103.9579962,1.3410498,"East"
"15289",15289,15289,"Block 154, RIVERVALE CRES, Singapore","HDB","RIVERVALE CRES",39766,502000,"2023-10-01","Non",90,5577.777778,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2005,81.16666667,"500k-600k","70-100",103.9074777,1.391581,"North"
"115839",115839,115839,"PRIVE, PUNGGOL FIELD, Singapore","PRIVE","PUNGGOL FIELD",94959,1875000,"2023-10-01","Strata",134,13993,"Executive Condominium",19,"Outside Central Region","11 to 15","Executive Condo",3,0,2,1,1,2010,85,"1.5m-2m","70-100",103.905639,1.399453,"North"
"100164",100164,100164,"GENTLE VILLAS, GENTLE DRIVE, Singapore","GENTLE VILLAS","GENTLE DRIVE",92183,3500000,"2024-03-01","Land",204.3,17132,"Semi-Detached House",11,"Core Central Region","-","Landed",5,0,3,1,1,1993,68,"3m-4m","50-70",103.8409008,1.3201378,"Central"
"92488",92488,92488,"CASA CAMBIO, LIM TUA TOW ROAD, Singapore","CASA CAMBIO","LIM TUA TOW ROAD",122303,998000,"2024-01-01","Strata",60,16633,"Condominium",19,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"900k-1m",NA,103.876323,1.3539255,"East"
"61298",61298,61298,"Block 521, BEDOK NTH AVE 1, Singapore","HDB","BEDOK NTH AVE 1",16510,393000,"2024-01-01","Non",67,5865.671642,"New Generation HDB",16,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1979,54.58333333,"300k-400k","50-70",103.9267275,1.3283757,"East"
"27276",27276,27276,"Block 234, PASIR RIS DR 4, Singapore","HDB","PASIR RIS DR 4",44454,525000,"2021-10-01","Non",128,4101.5625,"Improved HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1993,70.83333333,"500k-600k","70-100",103.9609009,1.3735869,"East"
"32251",32251,32251,"Block 275C, COMPASSVALE LINK, Singapore","HDB","COMPASSVALE LINK",72433,7e+05,"2023-06-01","Non",90,7777.777778,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2009,85,"700k-800k","70-100",103.8951903,1.3835873,"East"
"83882",83882,83882,"Block 811A, CHOA CHU KANG AVE 7, Singapore","HDB","CHOA CHU KANG AVE 7",14690,381314.19,"2021-07-01","Non",68,5607.561618,"Model A HDB",23,"Outside Central Region","11 to 15","Public Housing",3,0,1,1,1,2017,95.41666667,"300k-400k","70-100",103.7466605,1.3749472,"West"
"94491",94491,94491,"CLYDES RESIDENCE, MERGUI ROAD, Singapore","CLYDES RESIDENCE","MERGUI ROAD",137855,1300000,"2021-09-01","Strata",95,13684,"Apartment",8,"Rest of Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,NA,NA,"1.25m-1.5m",NA,103.8521966,1.3172798,"East"
"617",617,617,"8@WOODLEIGH, WOODLEIGH CLOSE, Singapore","8@WOODLEIGH","WOODLEIGH CLOSE",135371,1520000,"2021-11-01","Strata",89,17079,"Condominium",13,"Rest of Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2008,83,"1.5m-2m","70-100",103.8696474,1.3360901,"East"
"24945",24945,24945,"Block 219, CHOA CHU KANG CTRL, Singapore","HDB","CHOA CHU KANG CTRL",44185,522888,"2023-06-01","Non",106,4932.90566,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1990,65.75,"500k-600k","50-70",103.7467587,1.381097,"West"
"121712",121712,121712,"SKIES MILTONIA, MILTONIA CLOSE, Singapore","SKIES MILTONIA","MILTONIA CLOSE",103366,1208000,"2023-03-01","Strata",90,13422,"Condominium",27,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2012,87,"1m-1.25m","70-100",103.8482886,1.4182077,"North"
"49815",49815,49815,"Block 425, WOODLANDS ST 41, Singapore","HDB","WOODLANDS ST 41",19151,410000,"2021-10-01","Non",100,4100,"Model A HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1997,74.5,"400k-500k","70-100",103.7731592,1.4293302,"North"
"16688",16688,16688,"Block 165, HOUGANG AVE 1, Singapore","HDB","HOUGANG AVE 1",34623,480000,"2023-03-01","Non",92,5217.391304,"Model A2 HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1997,73.66666667,"400k-500k","70-100",103.889824,1.3544184,"East"
"44331",44331,44331,"Block 359, ADMIRALTY DR, Singapore","HDB","ADMIRALTY DR",73841,718000,"2023-12-01","Non",133,5398.496241,"Premium Apartment HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2001,76.83333333,"700k-800k","70-100",103.8171115,1.4506213,"North"
"120478",120478,120478,"SERANGOON GARDEN ESTATE, CONISTON GROVE, Singapore","SERANGOON GARDEN ESTATE","CONISTON GROVE",88227,2650000,"2021-09-01","Land",170.9,15506,"Terrace House",19,"Outside Central Region","-","Landed",4,0,2,1,1,1956,931,"2.5m-3m","100+",103.864699,1.3612148,"East"
"55078",55078,55078,"Block 468B, ADMIRALTY DR, Singapore","HDB","ADMIRALTY DR",28682,456500,"2021-12-01","Non",118,3868.644068,"Premium Apartment HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2001,78.5,"400k-500k","70-100",103.8171115,1.4506213,"North"
"80596",80596,80596,"Block 762, CHOA CHU KANG NTH 5, Singapore","HDB","CHOA CHU KANG NTH 5",19693,413000,"2021-03-01","Non",104,3971.153846,"Model A HDB",23,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,1996,74.41666667,"400k-500k","70-100",103.7464772,1.3919284,"North"
"17047",17047,17047,"Block 167D, PUNGGOL EAST, Singapore","HDB","PUNGGOL EAST",42279,515000,"2022-08-01","Non",92,5597.826087,"Premium Apartment HDB",19,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2009,85.66666667,"500k-600k","70-100",103.9164699,1.3951639,"North"
"11665",11665,11665,"Block 129B, CANBERRA ST, Singapore","HDB","CANBERRA ST",35087,482000,"2023-10-01","Non",68,7088.235294,"Model A HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2018,94,"400k-500k","70-100",103.8323487,1.4482209,"North"
"43554",43554,43554,"Block 349, UBI AVE 1, Singapore","HDB","UBI AVE 1",28720,457000,"2023-02-01","Non",84,5440.47619,"Simplified HDB",14,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,1986,61.91666667,"400k-500k","50-70",103.8980834,1.3262572,"East"
"56322",56322,56322,"Block 476, JURONG WEST ST 41, Singapore","HDB","JURONG WEST ST 41",12011,367000,"2023-10-01","Non",73,5027.39726,"Model A HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1984,59.91666667,"300k-400k","50-70",103.7232204,1.3482978,"West"
"106465",106465,106465,"LANDED HOUSING DEVELOPMENT, HOLLAND GROVE DRIVE, Singapore","LANDED HOUSING DEVELOPMENT","HOLLAND GROVE DRIVE",91199,7100000,"2021-09-01","Land",290.8,24415,"Semi-Detached House",10,"Core Central Region","-","Landed",5,0,3,1,1,NA,NA,"5m-10m",NA,103.7803512,1.3137474,"South"
"99452",99452,99452,"FLORISSA PARK, FLORISSA PARK, Singapore","FLORISSA PARK","FLORISSA PARK",92336,4800000,"2022-05-01","Land",300.2,15989,"Terrace House",26,"Outside Central Region","-","Landed",5,0,3,1,1,NA,NA,"4m-5m",NA,103.8353566,1.3869845,"Central"
"54779",54779,54779,"Block 466, PASIR RIS ST 41, Singapore","HDB","PASIR RIS ST 41",73962,720000,"2021-08-01","Non",147,4897.959184,"Maisonette HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1992,70.41666667,"700k-800k","70-100",103.9588154,1.3727321,"East"
"127358",127358,127358,"THE CRITERION, YISHUN STREET 51, Singapore","THE CRITERION","YISHUN STREET 51",95083,1550000,"2024-01-01","Strata",116,13362,"Executive Condominium",27,"Outside Central Region","01 to 05","Executive Condo",3,0,2,1,1,2014,89,"1.5m-2m","70-100",103.8457297,1.4182006,"North"
"100548",100548,100548,"GRANDEUR PARK RESIDENCES, BEDOK SOUTH AVENUE 3, Singapore","GRANDEUR PARK RESIDENCES","BEDOK SOUTH AVENUE 3",102837,1420000,"2023-06-01","Strata",84,16905,"Condominium",16,"Outside Central Region","11 to 15","Apartment & Condo",2,0,1,1,1,2016,91,"1.25m-1.5m","70-100",103.9456471,1.3259062,"East"
"45296",45296,45296,"Block 37, CHAI CHEE AVE, Singapore","HDB","CHAI CHEE AVE",15580,388000,"2022-11-01","Non",73,5315.068493,"Improved HDB",16,"Outside Central Region","11 to 15","Public Housing",3,0,1,1,1,1983,59.58333333,"300k-400k","50-70",103.9246368,1.3250333,"East"
"94427",94427,94427,"CLOVER BY THE PARK, BISHAN STREET 25, Singapore","CLOVER BY THE PARK","BISHAN STREET 25",125183,1940000,"2022-06-01","Strata",120,16167,"Condominium",20,"Rest of Central Region","06 to 10","Apartment & Condo",3,0,2,1,1,2007,82,"1.5m-2m","70-100",103.845371,1.35926,"Central"
"34323",34323,34323,"Block 291B, COMPASSVALE ST, Singapore","HDB","COMPASSVALE ST",55283,575000,"2023-12-01","Non",110,5227.272727,"Improved HDB",19,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2002,77.16666667,"500k-600k","70-100",103.8980618,1.3951499,"North"
"110164",110164,110164,"MI CASA, CHOA CHU KANG AVENUE 3, Singapore","MI CASA","CHOA CHU KANG AVENUE 3",123962,1550000,"2023-08-01","Strata",117,13248,"Condominium",23,"Outside Central Region","16 to 20","Apartment & Condo",3,0,2,1,1,2008,83,"1.5m-2m","70-100",103.7480374,1.3842606,"West"
"66253",66253,66253,"Block 59, MARINE TER, Singapore","HDB","MARINE TER",19448,410000,"2023-07-01","Non",65,6307.692308,"Improved HDB",15,"Rest of Central Region","6 to 10","Public Housing",3,0,1,1,1,1975,50.91666667,"400k-500k","50-70",103.9153203,1.3050614,"East"
"85317",85317,85317,"Block 842H, TAMPINES ST 82, Singapore","HDB","TAMPINES ST 82",66675,648000,"2022-04-01","Non",127,5102.362205,"Improved HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1995,72.41666667,"600k-700k","70-100",103.9365762,1.3516141,"East"
"88532",88532,88532,"Block 91, LOR 3 TOA PAYOH, Singapore","HDB","LOR 3 TOA PAYOH",622,258000,"2021-07-01","Non",68,3794.117647,"Improved HDB",12,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1970,47.58333333,"200k-300k","40-50",103.8480507,1.3380105,"Central"
"20574",20574,20574,"Block 195, KIM KEAT AVE, Singapore","HDB","KIM KEAT AVE",2250,290000,"2022-11-01","Non",66,4393.939394,"Improved HDB",12,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1973,49.75,"200k-300k","40-50",103.8580209,1.3332088,"East"
"110475",110475,110475,"MONTEREY PARK CONDOMINIUM, WEST COAST RISE, Singapore","MONTEREY PARK CONDOMINIUM","WEST COAST RISE",127666,2468000,"2023-11-01","Strata",158,15620,"Condominium",5,"Outside Central Region","01 to 05","Apartment & Condo",4,0,2,1,1,1885,860,"2m-2.5m","100+",103.7530385,1.3162622,"South"
"127921",127921,127921,"THE FORESTA @ MOUNT FABER, WISHART ROAD, Singapore","THE FORESTA @ MOUNT FABER","WISHART ROAD",117517,890000,"2024-01-01","Strata",40,22250,"Condominium",4,"Rest of Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"800k-900k",NA,103.8138523,1.2704484,"South"
"82553",82553,82553,"Block 801, WOODLANDS ST 81, Singapore","HDB","WOODLANDS ST 81",35471,485000,"2021-12-01","Non",121,4008.264463,"Improved HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1989,66.83333333,"400k-500k","50-70",103.789208,1.4414768,"North"
"97369",97369,97369,"ECHELON, ALEXANDRA VIEW, Singapore","ECHELON","ALEXANDRA VIEW",116454,2718000,"2023-08-01","Strata",122,22279,"Condominium",3,"Rest of Central Region","21 to 25","Apartment & Condo",3,0,2,1,1,2012,87,"2.5m-3m","70-100",103.8180961,1.2907661,"South"
"73168",73168,73168,"Block 664A, PUNGGOL DR, Singapore","HDB","PUNGGOL DR",53229,565000,"2022-11-01","Non",90,6277.777778,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2016,92.66666667,"500k-600k","70-100",103.9125114,1.4025582,"North"
"71242",71242,71242,"Block 643, PASIR RIS DR 10, Singapore","HDB","PASIR RIS DR 10",61102,610000,"2021-01-01","Non",149,4093.959732,"Apartment HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1995,73.83333333,"600k-700k","70-100",103.9381962,1.3796897,"East"
"103641",103641,103641,"JERVOIS TREASURES, JERVOIS ROAD, Singapore","JERVOIS TREASURES","JERVOIS ROAD",116536,1450000,"2023-11-01","Strata",49,29592,"Apartment",10,"Core Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"1.25m-1.5m",NA,103.823568,1.2928692,"South"
"130973",130973,130973,"THE PEARL @ MOUNT FABER, MOUNT FABER ROAD, Singapore","THE PEARL @ MOUNT FABER","MOUNT FABER ROAD",111405,1600000,"2022-07-01","Strata",108,14815,"Condominium",4,"Rest of Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2002,77,"1.5m-2m","70-100",103.8245499,1.2706934,"South"
"37236",37236,37236,"Block 308C, ANCHORVALE RD, Singapore","HDB","ANCHORVALE RD",45191,528000,"2022-04-01","Non",110,4800,"Improved HDB",19,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2002,78.83333333,"500k-600k","70-100",103.8872437,1.3933007,"North"
"74834",74834,74834,"Block 676D, PUNGGOL DR, Singapore","HDB","PUNGGOL DR",36024,488000,"2021-03-01","Non",93,5247.311828,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2016,94.58333333,"400k-500k","70-100",103.9125114,1.4025582,"North"
"17793",17793,17793,"Block 173A, PUNGGOL FIELD, Singapore","HDB","PUNGGOL FIELD",33569,478000,"2021-08-01","Non",110,4345.454545,"Improved HDB",19,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,2003,81.41666667,"400k-500k","70-100",103.905639,1.399453,"North"
"62788",62788,62788,"Block 535, BEDOK NTH ST 3, Singapore","HDB","BEDOK NTH ST 3",578,255000,"2022-06-01","Non",45,5666.666667,"Improved HDB",16,"Outside Central Region","1 to 5","Public Housing",1,0,1,1,1,1986,62.66666667,"200k-300k","50-70",103.9275759,1.3332472,"East"
"27209",27209,27209,"Block 233C, SUMANG LANE, Singapore","HDB","SUMANG LANE",73359,710000,"2024-01-01","Non",113,6283.185841,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2018,93.91666667,"700k-800k","70-100",103.8924562,1.4024854,"North"
"87492",87492,87492,"Block 890A, WOODLANDS DR 50, Singapore","HDB","WOODLANDS DR 50",53999,570000,"2021-08-01","Non",113,5044.247788,"Improved HDB",25,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2017,95,"500k-600k","70-100",103.7935814,1.4370612,"North"
"40596",40596,40596,"Block 326, BT BATOK ST 33, Singapore","HDB","BT BATOK ST 33",73237,710000,"2022-12-01","Non",153,4640.522876,"Maisonette HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1985,61.91666667,"700k-800k","50-70",103.7476264,1.3619417,"West"
"68536",68536,68536,"Block 617B, PUNGGOL DR, Singapore","HDB","PUNGGOL DR",38670,5e+05,"2021-07-01","Non",93,5376.344086,"Premium Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2013,91.25,"500k-600k","70-100",103.9125114,1.4025582,"North"
"31566",31566,31566,"Block 272, BT BATOK EAST AVE 4, Singapore","HDB","BT BATOK EAST AVE 4",11034,360000,"2023-01-01","Non",64,5625,"Simplified HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1986,62.75,"300k-400k","50-70",103.758536,1.3494737,"West"
"60698",60698,60698,"Block 516, JURONG WEST ST 52, Singapore","HDB","JURONG WEST ST 52",17772,4e+05,"2022-12-01","Non",74,5405.405405,"Model A HDB",22,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1984,60.83333333,"400k-500k","50-70",103.7177635,1.3481732,"West"
"40595",40595,40595,"Block 326, BT BATOK ST 33, Singapore","HDB","BT BATOK ST 33",69195,670000,"2021-12-01","Non",149,4496.644295,"Maisonette HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1985,62.91666667,"600k-700k","50-70",103.7476264,1.3619417,"West"
"3154",3154,3154,"BELLEWATERS, ANCHORVALE CRESCENT, Singapore","BELLEWATERS","ANCHORVALE CRESCENT",96558,1520000,"2022-05-01","Strata",115,13217,"Executive Condominium",19,"Outside Central Region","06 to 10","Executive Condo",3,0,2,1,1,2013,88,"1.5m-2m","70-100",103.8910415,1.3993024,"North"
"102262",102262,102262,"HILLION RESIDENCES, JELEBU ROAD, Singapore","HILLION RESIDENCES","JELEBU ROAD",119642,728888,"2022-07-01","Strata",43,16951,"Apartment",23,"Outside Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,2013,88,"700k-800k","70-100",103.7636634,1.3787715,"West"
"125374",125374,125374,"TERRASSE, TERRASSE LANE, Singapore","TERRASSE","TERRASSE LANE",104941,645000,"2022-02-01","Strata",47,13723,"Condominium",19,"Outside Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,2010,85,"600k-700k","70-100",103.8769817,1.3684372,"East"
"66636",66636,66636,"Block 6, GHIM MOH RD, Singapore","HDB","GHIM MOH RD",13410,375000,"2022-08-01","Non",65,5769.230769,"Improved HDB",3,"Rest of Central Region","6 to 10","Public Housing",3,0,1,1,1,1976,53,"300k-400k","50-70",103.7874454,1.3117378,"South"
"58052",58052,58052,"Block 498B, TAMPINES ST 45, Singapore","HDB","TAMPINES ST 45",42259,515000,"2022-07-01","Non",106,4858.490566,"Premium Apartment HDB",18,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1997,74,"500k-600k","70-100",103.9577982,1.3591474,"East"
"73285",73285,73285,"Block 665, WOODLANDS RING RD, Singapore","HDB","WOODLANDS RING RD",30774,465000,"2023-01-01","Non",86,5406.976744,"Model A2 HDB",25,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2000,76.75,"400k-500k","70-100",103.7994166,1.4384844,"North"
"92851",92851,92851,"CASHEW VILLAS, CASHEW CRESCENT, Singapore","CASHEW VILLAS","CASHEW CRESCENT",92774,3900000,"2023-08-01","Land",156,25000,"Terrace House",23,"Outside Central Region","-","Landed",4,0,2,1,1,1883,858,"3m-4m","100+",103.7694594,1.3714454,"West"
"39573",39573,39573,"Block 319, HOUGANG AVE 5, Singapore","HDB","HOUGANG AVE 5",4217,313000,"2021-07-01","Non",67,4671.641791,"New Generation HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1983,61,"300k-400k","50-70",103.8963229,1.367378,"East"
"102371",102371,102371,"HILLSTA, PHOENIX ROAD, Singapore","HILLSTA","PHOENIX ROAD",102268,1168000,"2023-08-01","Strata",80,14600,"Condominium",23,"Outside Central Region","16 to 20","Apartment & Condo",2,0,1,1,1,2011,86,"1m-1.25m","70-100",103.756462,1.3767471,"West"
"115345",115345,115345,"PINE GROVE, PINE GROVE, Singapore","PINE GROVE","PINE GROVE",122895,1350000,"2022-04-01","Strata",109,12385,"Condominium",21,"Rest of Central Region","16 to 20","Apartment & Condo",2,0,1,1,1,1984,59,"1.25m-1.5m","50-70",103.7750935,1.318385,"South"
"40899",40899,40899,"Block 328, ANG MO KIO AVE 3, Singapore","HDB","ANG MO KIO AVE 3",25527,440888,"2024-01-01","Non",73,6039.561644,"New Generation HDB",20,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1978,53.75,"400k-500k","50-70",103.8572732,1.3690195,"East"
"85846",85846,85846,"Block 86, DAWSON RD, Singapore","HDB","DAWSON RD",82759,870000,"2021-12-01","Non",83,10481.92771,"Premium Apartment HDB",3,"Rest of Central Region","31 to 35","Public Housing",4,0,2,1,1,2016,93.75,"800k-900k","70-100",103.8106115,1.2947656,"South"
"103592",103592,103592,"JERVOIS REGENCY, JERVOIS ROAD, Singapore","JERVOIS REGENCY","JERVOIS ROAD",129066,2650000,"2023-04-01","Strata",227,11674,"Apartment",10,"Core Central Region","01 to 05","Apartment & Condo",5,0,3,1,1,NA,NA,"2.5m-3m",NA,103.8219431,1.2945126,"South"
"61535",61535,61535,"Block 523A, TAMPINES CTRL 7, Singapore","HDB","TAMPINES CTRL 7",72762,705000,"2021-11-01","Non",113,6238.938053,"Improved HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2015,92.83333333,"700k-800k","70-100",103.9400907,1.3581378,"East"
"15901",15901,15901,"Block 16, MARSILING LANE, Singapore","HDB","MARSILING LANE",469,250000,"2022-12-01","Non",45,5555.555556,"Improved HDB",25,"Outside Central Region","6 to 10","Public Housing",1,0,1,1,1,1984,61,"200k-300k","50-70",103.775801,1.4450726,"North"
"133017",133017,133017,"THE TAMPINES TRILLIANT, TAMPINES CENTRAL 7, Singapore","THE TAMPINES TRILLIANT","TAMPINES CENTRAL 7",97837,1600000,"2023-04-01","Strata",105,15238,"Executive Condominium",18,"Outside Central Region","11 to 15","Executive Condo",2,0,1,1,1,2011,86,"1.5m-2m","70-100",103.9405651,1.3588232,"East"
"118109",118109,118109,"RIVERSAILS, UPPER SERANGOON CRESCENT, Singapore","RIVERSAILS","UPPER SERANGOON CRESCENT",109086,1130000,"2024-01-01","Strata",79,14304,"Condominium",19,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2011,86,"1m-1.25m","70-100",103.9024414,1.377924,"East"
"87221",87221,87221,"Block 889, TAMPINES ST 81, Singapore","HDB","TAMPINES ST 81",74905,730000,"2021-09-01","Non",146,5000,"Maisonette HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1989,66.5,"700k-800k","50-70",103.933707,1.3483827,"East"
"81591",81591,81591,"Block 782D, WOODLANDS CRES, Singapore","HDB","WOODLANDS CRES",44882,525000,"2023-09-01","Non",92,5706.521739,"Model A HDB",25,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2015,90.83333333,"500k-600k","70-100",103.8024146,1.4468524,"North"
"37729",37729,37729,"Block 310B, PUNGGOL WALK, Singapore","HDB","PUNGGOL WALK",42065,515000,"2021-07-01","Non",92,5597.826087,"Premium Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2016,94,"500k-600k","70-100",103.9004692,1.4052147,"North"
"21870",21870,21870,"Block 202, TOA PAYOH NTH, Singapore","HDB","TOA PAYOH NTH",27210,450000,"2022-05-01","Non",87,5172.413793,"Improved HDB",12,"Rest of Central Region","16 to 20","Public Housing",4,0,2,1,1,1973,50.16666667,"400k-500k","50-70",103.8493198,1.3416825,"Central"
"42606",42606,42606,"Block 339, TAMPINES ST 33, Singapore","HDB","TAMPINES ST 33",71506,690000,"2023-08-01","Non",137,5036.49635,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1995,71.5,"600k-700k","70-100",103.9600783,1.352159,"East"
"130352",130352,130352,"THE MONTANA, JALAN MUTIARA, Singapore","THE MONTANA","JALAN MUTIARA",137440,1195000,"2023-06-01","Strata",51,23431,"Apartment",10,"Core Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,NA,NA,"1m-1.25m",NA,103.849316,1.3001259,"South"
"83474",83474,83474,"Block 808B, CHOA CHU KANG AVE 1, Singapore","HDB","CHOA CHU KANG AVE 1",54763,572888,"2024-02-01","Non",92,6227.043478,"Model A HDB",23,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2017,92.25,"500k-600k","70-100",103.7449625,1.3767043,"West"
"132109",132109,132109,"THE SANTORINI, TAMPINES STREET 86, Singapore","THE SANTORINI","TAMPINES STREET 86",110799,880000,"2022-04-01","Strata",69,12754,"Condominium",18,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,2013,88,"800k-900k","70-100",103.9283577,1.3521285,"East"
"92960",92960,92960,"CASTLE GREEN, YIO CHU KANG ROAD, Singapore","CASTLE GREEN","YIO CHU KANG ROAD",111323,980000,"2022-09-01","Strata",88,11136,"Condominium",26,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1993,68,"900k-1m","50-70",103.840822,1.3865164,"Central"
"113254",113254,113254,"PARC BOTANNIA, FERNVALE STREET, Singapore","PARC BOTANNIA","FERNVALE STREET",116591,8e+05,"2023-09-01","Strata",47,17021,"Condominium",28,"Outside Central Region","16 to 20","Apartment & Condo",1,0,1,1,1,2016,91,"800k-900k","70-100",103.8749918,1.3983861,"North"
"89403",89403,89403,"Block 93A, TELOK BLANGAH ST 31, Singapore","HDB","TELOK BLANGAH ST 31",80577,820000,"2023-10-01","Non",93,8817.204301,"Model A HDB",3,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,2018,94.16666667,"800k-900k","70-100",103.8067579,1.2751288,"South"
"82896",82896,82896,"Block 803D, KEAT HONG CL, Singapore","HDB","KEAT HONG CL",32875,475000,"2021-07-01","Non",93,5107.526882,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2017,94.91666667,"400k-500k","70-100",103.7425722,1.3744652,"West"
"59718",59718,59718,"Block 509, JELAPANG RD, Singapore","HDB","JELAPANG RD",13620,376000,"2021-02-01","Non",92,4086.956522,"Model A2 HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1998,76.33333333,"300k-400k","70-100",103.7672353,1.3859416,"West"
"63664",63664,63664,"Block 546, HOUGANG ST 51, Singapore","HDB","HOUGANG ST 51",49972,550000,"2021-10-01","Non",121,4545.454545,"Improved HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1992,70,"500k-600k","50-70",103.8878715,1.3801872,"East"
"42920",42920,42920,"Block 341, HOUGANG AVE 7, Singapore","HDB","HOUGANG AVE 7",18359,405000,"2022-01-01","Non",92,4402.173913,"New Generation HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1985,62.66666667,"400k-500k","50-70",103.8992095,1.3673872,"East"
"86037",86037,86037,"Block 861A, TAMPINES AVE 5, Singapore","HDB","TAMPINES AVE 5",41773,512000,"2021-08-01","Non",104,4923.076923,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1988,66.16666667,"500k-600k","50-70",103.9414861,1.3503018,"East"
"89077",89077,89077,"Block 92B, TELOK BLANGAH ST 31, Singapore","HDB","TELOK BLANGAH ST 31",79911,808000,"2023-05-01","Non",93,8688.172043,"Model A HDB",3,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,2018,94.66666667,"800k-900k","70-100",103.8067579,1.2751288,"South"
